
862113792 bytes (862 MB, 822 MiB) copied, 1 s, 862 MB/s
1757724672 bytes (1.8 GB, 1.6 GiB) copied, 2 s, 879 MB/s
2642644992 bytes (2.6 GB, 2.5 GiB) copied, 3 s, 881 MB/s
3532959744 bytes (3.5 GB, 3.3 GiB) copied, 4 s, 883 MB/s
4421402624 bytes (4.4 GB, 4.1 GiB) copied, 5 s, 884 MB/s
5263949824 bytes (5.3 GB, 4.9 GiB) copied, 6 s, 877 MB/s
6132862976 bytes (6.1 GB, 5.7 GiB) copied, 7 s, 876 MB/s
7031902208 bytes (7.0 GB, 6.5 GiB) copied, 8 s, 879 MB/s
7881162752 bytes (7.9 GB, 7.3 GiB) copied, 9 s, 876 MB/s
8719097856 bytes (8.7 GB, 8.1 GiB) copied, 10 s, 872 MB/s
9554206720 bytes (9.6 GB, 8.9 GiB) copied, 11 s, 869 MB/s
10428956672 bytes (10 GB, 9.7 GiB) copied, 12 s, 869 MB/s
11025043456 bytes (11 GB, 10 GiB) copied, 13 s, 848 MB/s 
11327746048 bytes (11 GB, 11 GiB) copied, 14 s, 809 MB/s
11630002176 bytes (12 GB, 11 GiB) copied, 15 s, 775 MB/s
11931455488 bytes (12 GB, 11 GiB) copied, 16 s, 746 MB/s
12230901760 bytes (12 GB, 11 GiB) copied, 17 s, 719 MB/s
12533272576 bytes (13 GB, 12 GiB) copied, 18 s, 696 MB/s
12833009664 bytes (13 GB, 12 GiB) copied, 19 s, 675 MB/s
13135196160 bytes (13 GB, 12 GiB) copied, 20 s, 657 MB/s
13368119296 bytes (13 GB, 12 GiB) copied, 21 s, 637 MB/s
13543849984 bytes (14 GB, 13 GiB) copied, 22 s, 616 MB/s
13720858624 bytes (14 GB, 13 GiB) copied, 23 s, 597 MB/s
13896290304 bytes (14 GB, 13 GiB) copied, 24 s, 579 MB/s
14072152064 bytes (14 GB, 13 GiB) copied, 25 s, 563 MB/s
14248333312 bytes (14 GB, 13 GiB) copied, 26 s, 548 MB/s
14425247744 bytes (14 GB, 13 GiB) copied, 27 s, 534 MB/s
14600953856 bytes (15 GB, 14 GiB) copied, 28 s, 521 MB/s
14776586240 bytes (15 GB, 14 GiB) copied, 29 s, 509 MB/s
14952869888 bytes (15 GB, 14 GiB) copied, 30 s, 498 MB/s
15128592384 bytes (15 GB, 14 GiB) copied, 31 s, 488 MB/s
15305428992 bytes (15 GB, 14 GiB) copied, 32 s, 478 MB/s
15481479168 bytes (15 GB, 14 GiB) copied, 33 s, 469 MB/s
15657295872 bytes (16 GB, 15 GiB) copied, 34 s, 461 MB/s
15834320896 bytes (16 GB, 15 GiB) copied, 35 s, 452 MB/s
16009887744 bytes (16 GB, 15 GiB) copied, 36 s, 445 MB/s
16185798656 bytes (16 GB, 15 GiB) copied, 37 s, 437 MB/s
16361684992 bytes (16 GB, 15 GiB) copied, 38 s, 431 MB/s
