
938926080 bytes (939 MB, 895 MiB) copied, 1 s, 939 MB/s
1884512256 bytes (1.9 GB, 1.8 GiB) copied, 2 s, 942 MB/s
2824323072 bytes (2.8 GB, 2.6 GiB) copied, 3 s, 941 MB/s
3783184384 bytes (3.8 GB, 3.5 GiB) copied, 4 s, 946 MB/s
4738039808 bytes (4.7 GB, 4.4 GiB) copied, 5 s, 948 MB/s
5710069760 bytes (5.7 GB, 5.3 GiB) copied, 6 s, 952 MB/s
6650200064 bytes (6.7 GB, 6.2 GiB) copied, 7 s, 950 MB/s
7568965632 bytes (7.6 GB, 7.0 GiB) copied, 8 s, 946 MB/s
8445960192 bytes (8.4 GB, 7.9 GiB) copied, 9 s, 938 MB/s
9338834944 bytes (9.3 GB, 8.7 GiB) copied, 10 s, 934 MB/s
10219171840 bytes (10 GB, 9.5 GiB) copied, 11 s, 929 MB/s
11104600064 bytes (11 GB, 10 GiB) copied, 12 s, 925 MB/s 
11987652608 bytes (12 GB, 11 GiB) copied, 13 s, 922 MB/s
12878196736 bytes (13 GB, 12 GiB) copied, 14 s, 920 MB/s
13763760128 bytes (14 GB, 13 GiB) copied, 15 s, 918 MB/s
14653136896 bytes (15 GB, 14 GiB) copied, 16 s, 916 MB/s
15516381184 bytes (16 GB, 14 GiB) copied, 17 s, 913 MB/s
16395251712 bytes (16 GB, 15 GiB) copied, 18 s, 911 MB/s
17261510656 bytes (17 GB, 16 GiB) copied, 19 s, 909 MB/s
18063089664 bytes (18 GB, 17 GiB) copied, 20 s, 903 MB/s
18663235584 bytes (19 GB, 17 GiB) copied, 21 s, 888 MB/s
19270397952 bytes (19 GB, 18 GiB) copied, 22 s, 876 MB/s
19877384192 bytes (20 GB, 19 GiB) copied, 23 s, 864 MB/s
20320878592 bytes (20 GB, 19 GiB) copied, 24 s, 847 MB/s
20618719232 bytes (21 GB, 19 GiB) copied, 25 s, 825 MB/s
20926697472 bytes (21 GB, 19 GiB) copied, 26 s, 805 MB/s
21227110400 bytes (21 GB, 20 GiB) copied, 27 s, 786 MB/s
21508874240 bytes (22 GB, 20 GiB) copied, 28 s, 768 MB/s
21790203904 bytes (22 GB, 20 GiB) copied, 29 s, 751 MB/s
22083883008 bytes (22 GB, 21 GiB) copied, 30 s, 736 MB/s
22404538368 bytes (22 GB, 21 GiB) copied, 31 s, 723 MB/s
22720004096 bytes (23 GB, 21 GiB) copied, 32 s, 710 MB/s
23033876480 bytes (23 GB, 21 GiB) copied, 33 s, 698 MB/s
23350624256 bytes (23 GB, 22 GiB) copied, 34 s, 687 MB/s
23663239168 bytes (24 GB, 22 GiB) copied, 35 s, 676 MB/s
23991615488 bytes (24 GB, 22 GiB) copied, 36 s, 666 MB/s
24312999936 bytes (24 GB, 23 GiB) copied, 37 s, 657 MB/s
24645664768 bytes (25 GB, 23 GiB) copied, 38 s, 649 MB/s
24963141632 bytes (25 GB, 23 GiB) copied, 39 s, 640 MB/s
25273315328 bytes (25 GB, 24 GiB) copied, 40 s, 632 MB/s
25591230464 bytes (26 GB, 24 GiB) copied, 41 s, 624 MB/s
25913409536 bytes (26 GB, 24 GiB) copied, 42 s, 617 MB/s
26238578688 bytes (26 GB, 24 GiB) copied, 43 s, 610 MB/s
26575859712 bytes (27 GB, 25 GiB) copied, 44 s, 604 MB/s
26904125440 bytes (27 GB, 25 GiB) copied, 45 s, 598 MB/s
27227369472 bytes (27 GB, 25 GiB) copied, 46 s, 592 MB/s
27547058176 bytes (28 GB, 26 GiB) copied, 47 s, 586 MB/s
27863560192 bytes (28 GB, 26 GiB) copied, 48 s, 580 MB/s
28187279360 bytes (28 GB, 26 GiB) copied, 49 s, 575 MB/s
28512264192 bytes (29 GB, 27 GiB) copied, 50 s, 570 MB/s
28839079936 bytes (29 GB, 27 GiB) copied, 51 s, 565 MB/s
29163171840 bytes (29 GB, 27 GiB) copied, 52 s, 561 MB/s
29490016256 bytes (29 GB, 27 GiB) copied, 53 s, 556 MB/s
29812101120 bytes (30 GB, 28 GiB) copied, 54 s, 552 MB/s
30127128576 bytes (30 GB, 28 GiB) copied, 55 s, 548 MB/s
30441009152 bytes (30 GB, 28 GiB) copied, 56 s, 544 MB/s
30756360192 bytes (31 GB, 29 GiB) copied, 57 s, 540 MB/s
31074689024 bytes (31 GB, 29 GiB) copied, 58 s, 536 MB/s
31385788416 bytes (31 GB, 29 GiB) copied, 59 s, 532 MB/s
31695187968 bytes (32 GB, 30 GiB) copied, 60 s, 528 MB/s
32009760768 bytes (32 GB, 30 GiB) copied, 61 s, 525 MB/s
32326807552 bytes (32 GB, 30 GiB) copied, 62 s, 521 MB/s
32641609728 bytes (33 GB, 30 GiB) copied, 63 s, 518 MB/s
32954490880 bytes (33 GB, 31 GiB) copied, 64 s, 515 MB/s
33264570368 bytes (33 GB, 31 GiB) copied, 65 s, 512 MB/s
33574486016 bytes (34 GB, 31 GiB) copied, 66 s, 509 MB/s
33882251264 bytes (34 GB, 32 GiB) copied, 67 s, 506 MB/s
34198720512 bytes (34 GB, 32 GiB) copied, 68 s, 503 MB/s
34517995520 bytes (35 GB, 32 GiB) copied, 69 s, 500 MB/s
34835611648 bytes (35 GB, 32 GiB) copied, 70 s, 498 MB/s
35152175104 bytes (35 GB, 33 GiB) copied, 71 s, 495 MB/s
35468804096 bytes (35 GB, 33 GiB) copied, 72 s, 493 MB/s
35782750208 bytes (36 GB, 33 GiB) copied, 73 s, 490 MB/s
36099379200 bytes (36 GB, 34 GiB) copied, 74 s, 488 MB/s
36414988288 bytes (36 GB, 34 GiB) copied, 75 s, 486 MB/s
36731088896 bytes (37 GB, 34 GiB) copied, 76 s, 483 MB/s
37047263232 bytes (37 GB, 35 GiB) copied, 77 s, 481 MB/s
37365317632 bytes (37 GB, 35 GiB) copied, 78 s, 479 MB/s
37685018624 bytes (38 GB, 35 GiB) copied, 79 s, 477 MB/s
38004326400 bytes (38 GB, 35 GiB) copied, 80 s, 475 MB/s
38319628288 bytes (38 GB, 36 GiB) copied, 81 s, 473 MB/s
38640054272 bytes (39 GB, 36 GiB) copied, 82 s, 471 MB/s
38961483776 bytes (39 GB, 36 GiB) copied, 83 s, 469 MB/s
39283732480 bytes (39 GB, 37 GiB) copied, 84 s, 468 MB/s
39603679232 bytes (40 GB, 37 GiB) copied, 85 s, 466 MB/s
39921242112 bytes (40 GB, 37 GiB) copied, 86 s, 464 MB/s
40232022016 bytes (40 GB, 37 GiB) copied, 87 s, 462 MB/s
40545689600 bytes (41 GB, 38 GiB) copied, 88 s, 461 MB/s
40861163520 bytes (41 GB, 38 GiB) copied, 89 s, 459 MB/s
41175388160 bytes (41 GB, 38 GiB) copied, 90 s, 458 MB/s
41481314304 bytes (41 GB, 39 GiB) copied, 91 s, 456 MB/s
41789825024 bytes (42 GB, 39 GiB) copied, 92 s, 454 MB/s
42093391872 bytes (42 GB, 39 GiB) copied, 93 s, 453 MB/s
42403344384 bytes (42 GB, 39 GiB) copied, 94 s, 451 MB/s
42725384192 bytes (43 GB, 40 GiB) copied, 95 s, 450 MB/s
10485760+0 records in
10485760+0 records out
42949672960 bytes (43 GB, 40 GiB) copied, 95.4743 s, 450 MB/s
