
919928832 bytes (920 MB, 877 MiB) copied, 1 s, 920 MB/s
1831489536 bytes (1.8 GB, 1.7 GiB) copied, 2 s, 916 MB/s
2756497408 bytes (2.8 GB, 2.6 GiB) copied, 3 s, 919 MB/s
3670802432 bytes (3.7 GB, 3.4 GiB) copied, 4 s, 918 MB/s
4605538304 bytes (4.6 GB, 4.3 GiB) copied, 5 s, 921 MB/s
5497544704 bytes (5.5 GB, 5.1 GiB) copied, 6 s, 916 MB/s
6379331584 bytes (6.4 GB, 5.9 GiB) copied, 7 s, 911 MB/s
7253168128 bytes (7.3 GB, 6.8 GiB) copied, 8 s, 907 MB/s
8145764352 bytes (8.1 GB, 7.6 GiB) copied, 9 s, 905 MB/s
9044135936 bytes (9.0 GB, 8.4 GiB) copied, 10 s, 904 MB/s
9879384064 bytes (9.9 GB, 9.2 GiB) copied, 11 s, 898 MB/s
10237034496 bytes (10 GB, 9.5 GiB) copied, 12 s, 853 MB/s
10515697664 bytes (11 GB, 9.8 GiB) copied, 13 s, 809 MB/s
10821730304 bytes (11 GB, 10 GiB) copied, 14 s, 773 MB/s 
11124772864 bytes (11 GB, 10 GiB) copied, 15 s, 742 MB/s
11325181952 bytes (11 GB, 11 GiB) copied, 16 s, 708 MB/s
11503349760 bytes (12 GB, 11 GiB) copied, 17 s, 676 MB/s
11686744064 bytes (12 GB, 11 GiB) copied, 18 s, 649 MB/s
11875631104 bytes (12 GB, 11 GiB) copied, 19 s, 625 MB/s
12061519872 bytes (12 GB, 11 GiB) copied, 20 s, 603 MB/s
12250406912 bytes (12 GB, 11 GiB) copied, 21 s, 583 MB/s
12436295680 bytes (12 GB, 12 GiB) copied, 22 s, 565 MB/s
12625084416 bytes (13 GB, 12 GiB) copied, 23 s, 549 MB/s
12811071488 bytes (13 GB, 12 GiB) copied, 24 s, 534 MB/s
12999905280 bytes (13 GB, 12 GiB) copied, 25 s, 520 MB/s
13185847296 bytes (13 GB, 12 GiB) copied, 26 s, 507 MB/s
13374734336 bytes (13 GB, 12 GiB) copied, 27 s, 495 MB/s
13549379584 bytes (14 GB, 13 GiB) copied, 28 s, 484 MB/s
13674553344 bytes (14 GB, 13 GiB) copied, 29 s, 472 MB/s
13799727104 bytes (14 GB, 13 GiB) copied, 30 s, 460 MB/s
13926346752 bytes (14 GB, 13 GiB) copied, 31 s, 449 MB/s
14052270080 bytes (14 GB, 13 GiB) copied, 32 s, 439 MB/s
14177964032 bytes (14 GB, 13 GiB) copied, 33 s, 430 MB/s
14302617600 bytes (14 GB, 13 GiB) copied, 34 s, 421 MB/s
14427791360 bytes (14 GB, 13 GiB) copied, 35 s, 412 MB/s
14553714688 bytes (15 GB, 14 GiB) copied, 36 s, 404 MB/s
14678634496 bytes (15 GB, 14 GiB) copied, 37 s, 397 MB/s
14801063936 bytes (15 GB, 14 GiB) copied, 38 s, 389 MB/s
14920749056 bytes (15 GB, 14 GiB) copied, 39 s, 383 MB/s
15042080768 bytes (15 GB, 14 GiB) copied, 40 s, 376 MB/s
15158595584 bytes (15 GB, 14 GiB) copied, 41 s, 370 MB/s
15281524736 bytes (15 GB, 14 GiB) copied, 42 s, 364 MB/s
15404449792 bytes (15 GB, 14 GiB) copied, 43 s, 358 MB/s
15521886208 bytes (16 GB, 14 GiB) copied, 44 s, 353 MB/s
15644815360 bytes (16 GB, 15 GiB) copied, 45 s, 348 MB/s
15767977984 bytes (16 GB, 15 GiB) copied, 46 s, 343 MB/s
15890153472 bytes (16 GB, 15 GiB) copied, 47 s, 338 MB/s
16012328960 bytes (16 GB, 15 GiB) copied, 48 s, 334 MB/s
16136003584 bytes (16 GB, 15 GiB) copied, 49 s, 329 MB/s
16256679936 bytes (16 GB, 15 GiB) copied, 50 s, 325 MB/s
16378105856 bytes (16 GB, 15 GiB) copied, 51 s, 321 MB/s
16501030912 bytes (17 GB, 15 GiB) copied, 52 s, 317 MB/s
16619905024 bytes (17 GB, 15 GiB) copied, 53 s, 314 MB/s
16742383616 bytes (17 GB, 16 GiB) copied, 54 s, 310 MB/s
16865308672 bytes (17 GB, 16 GiB) copied, 55 s, 307 MB/s
16985235456 bytes (17 GB, 16 GiB) copied, 56 s, 303 MB/s
17106665472 bytes (17 GB, 16 GiB) copied, 57 s, 300 MB/s
17229955072 bytes (17 GB, 16 GiB) copied, 58 s, 297 MB/s
17351016448 bytes (17 GB, 16 GiB) copied, 59 s, 294 MB/s
17473150976 bytes (17 GB, 16 GiB) copied, 60 s, 291 MB/s
17594273792 bytes (18 GB, 16 GiB) copied, 61 s, 288 MB/s
17717542912 bytes (18 GB, 17 GiB) copied, 62 s, 286 MB/s
17839718400 bytes (18 GB, 17 GiB) copied, 63 s, 283 MB/s
17958895616 bytes (18 GB, 17 GiB) copied, 64 s, 281 MB/s
18081071104 bytes (18 GB, 17 GiB) copied, 65 s, 278 MB/s
18204745728 bytes (18 GB, 17 GiB) copied, 66 s, 276 MB/s
18327314432 bytes (18 GB, 17 GiB) copied, 67 s, 274 MB/s
18448347136 bytes (18 GB, 17 GiB) copied, 68 s, 271 MB/s
18569773056 bytes (19 GB, 17 GiB) copied, 69 s, 269 MB/s
18692698112 bytes (19 GB, 17 GiB) copied, 70 s, 267 MB/s
18815623168 bytes (19 GB, 18 GiB) copied, 71 s, 265 MB/s
18936299520 bytes (19 GB, 18 GiB) copied, 72 s, 263 MB/s
19057725440 bytes (19 GB, 18 GiB) copied, 73 s, 261 MB/s
19180650496 bytes (19 GB, 18 GiB) copied, 74 s, 259 MB/s
19302076416 bytes (19 GB, 18 GiB) copied, 75 s, 257 MB/s
19423223808 bytes (19 GB, 18 GiB) copied, 76 s, 256 MB/s
19544178688 bytes (20 GB, 18 GiB) copied, 77 s, 254 MB/s
19667505152 bytes (20 GB, 18 GiB) copied, 78 s, 252 MB/s
19789787136 bytes (20 GB, 18 GiB) copied, 79 s, 251 MB/s
19912204288 bytes (20 GB, 19 GiB) copied, 80 s, 249 MB/s
20030631936 bytes (20 GB, 19 GiB) copied, 81 s, 247 MB/s
20153556992 bytes (20 GB, 19 GiB) copied, 82 s, 246 MB/s
20277981184 bytes (20 GB, 19 GiB) copied, 83 s, 244 MB/s
20398657536 bytes (20 GB, 19 GiB) copied, 84 s, 243 MB/s
20519837696 bytes (21 GB, 19 GiB) copied, 85 s, 241 MB/s
20642000896 bytes (21 GB, 19 GiB) copied, 86 s, 240 MB/s
20762185728 bytes (21 GB, 19 GiB) copied, 87 s, 239 MB/s
20882866176 bytes (21 GB, 19 GiB) copied, 88 s, 237 MB/s
21005791232 bytes (21 GB, 20 GiB) copied, 89 s, 236 MB/s
21130215424 bytes (21 GB, 20 GiB) copied, 90 s, 235 MB/s
21253140480 bytes (21 GB, 20 GiB) copied, 91 s, 234 MB/s
21376516096 bytes (21 GB, 20 GiB) copied, 92 s, 232 MB/s
21495242752 bytes (21 GB, 20 GiB) copied, 93 s, 231 MB/s
21618167808 bytes (22 GB, 20 GiB) copied, 94 s, 230 MB/s
21741092864 bytes (22 GB, 20 GiB) copied, 95 s, 229 MB/s
21865295872 bytes (22 GB, 20 GiB) copied, 96 s, 228 MB/s
21987692544 bytes (22 GB, 20 GiB) copied, 97 s, 227 MB/s
22106120192 bytes (22 GB, 21 GiB) copied, 98 s, 226 MB/s
22229045248 bytes (22 GB, 21 GiB) copied, 99 s, 225 MB/s
22353469440 bytes (22 GB, 21 GiB) copied, 100 s, 224 MB/s
22476857344 bytes (22 GB, 21 GiB) copied, 101 s, 223 MB/s
22600069120 bytes (23 GB, 21 GiB) copied, 102 s, 222 MB/s
22719246336 bytes (23 GB, 21 GiB) copied, 103 s, 221 MB/s
22842171392 bytes (23 GB, 21 GiB) copied, 104 s, 220 MB/s
22959853568 bytes (23 GB, 21 GiB) copied, 105 s, 219 MB/s
23082778624 bytes (23 GB, 21 GiB) copied, 106 s, 218 MB/s
23206453248 bytes (23 GB, 22 GiB) copied, 107 s, 217 MB/s
23329873920 bytes (23 GB, 22 GiB) copied, 108 s, 216 MB/s
23453052928 bytes (23 GB, 22 GiB) copied, 109 s, 215 MB/s
23573729280 bytes (24 GB, 22 GiB) copied, 110 s, 214 MB/s
23695155200 bytes (24 GB, 22 GiB) copied, 111 s, 213 MB/s
23819579392 bytes (24 GB, 22 GiB) copied, 112 s, 213 MB/s
23942504448 bytes (24 GB, 22 GiB) copied, 113 s, 212 MB/s
24066179072 bytes (24 GB, 22 GiB) copied, 114 s, 211 MB/s
24185176064 bytes (24 GB, 23 GiB) copied, 115 s, 210 MB/s
